Regional Economy,Statistic,Value,Footnote,Year,Unit of Measure,Sustainable Development Goal,ADB Economy Code
Tonga,Total Outstanding Debt,188,,2023,$ million,,TON
Tonga,Total Outstanding Debt,36.9,,2021,% of GNI,,TON
Turkmenistan,Total Outstanding Debt,,,,$ million,,TKM
Turkmenistan,Total Outstanding Debt,,,,% of GNI,,TKM
Tuvalu,Total Outstanding Debt,4,,2023,$ million,,TUV
Tuvalu,Total Outstanding Debt,4.5,,2022,% of GNI,,TUV
Uzbekistan,Total Outstanding Debt,45449,,2023,$ million,,UZB
Uzbekistan,Total Outstanding Debt,62.7,,2022,% of GNI,,UZB
Vanuatu,Total Outstanding Debt,342,,2023,$ million,,VAN
Vanuatu,Total Outstanding Debt,29.8,,2022,% of GNI,,VAN
Viet Nam,Total Outstanding Debt,136213.2,,2021,$ million,,VIE
Viet Nam,Total Outstanding Debt,38.9,,2021,% of GNI,,VIE
Afghanistan,Total Population,33.47,,2023,million,,AFG
Armenia,Total Population,2.99,,2023,million,,ARM
Azerbaijan,Total Population,10.15,,2023,million,,AZE
Bangladesh,Total Population,176.37,,2023,million,,BAN
Bhutan,Total Population,0.77,,2023,million,,BHU
Brunei Darussalam,Total Population,0.45,,2023,million,,BRU
Cambodia,Total Population,17.09,,2023,million,,CAM
"China, People's Republic of",Total Population,1409.67,,2023,million,,PRC
Cook Islands,Total Population,0.02,,2023,million,,COO
Fiji,Total Population,0.9,,2023,million,,FIJ
Georgia,Total Population,3.71,,2023,million,,GEO
"Hong Kong, China",Total Population,7.5,,2023,million,,HKG
India,Total Population,1395,,2023,million,,IND
Indonesia,Total Population,278.7,,2023,million,,INO
Kazakhstan,Total Population,20.01,,2023,million,,KAZ
Kiribati,Total Population,0.12,,2023,million,,KIR
"Korea, Republic of",Total Population,51.71,,2023,million,,KOR
Kyrgyz Republic,Total Population,7.04,,2023,million,,KGZ
Lao People's Democratic Republic,Total Population,7.55,,2023,million,,LAO
Malaysia,Total Population,33.4,,2023,million,,MAL
Maldives,Total Population,0.59,,2023,million,,MLD
Marshall Islands,Total Population,0.05,,2023,million,,RMI
"Micronesia, Federated States of",Total Population,0.11,,2023,million,,FSM
Mongolia,Total Population,3.48,,2023,million,,MON
Myanmar,Total Population,54.58,,2023,million,,MYA
Nauru,Total Population,0.01,,2023,million,,NAU
Nepal,Total Population,29.46,,2023,million,,NEP
Niue,Total Population,0.0015,,2023,million,,NIU
Pakistan,Total Population,241.5,,2023,million,,PAK
Palau,Total Population,0.02,,2023,million,,PAL
Papua New Guinea,Total Population,9.5,,2023,million,,PNG
Philippines,Total Population,112.89,,2023,million,,PHI
Samoa,Total Population,0.2,,2023,million,,SAM
Singapore,Total Population,5.92,,2023,million,,SIN
Solomon Islands,Total Population,0.76,,2023,million,,SOL
Sri Lanka,Total Population,22.04,,2023,million,,SRI
"Taipei,China",Total Population,23.37,,2023,million,,TAP
Tajikistan,Total Population,10.28,,2023,million,,TAJ
Thailand,Total Population,70.06,,2023,million,,THA
Timor-Leste,Total Population,1.36,,2023,million,,TIM
Tonga,Total Population,0.1,,2023,million,,TON
Turkmenistan,Total Population,6.52,,2023,million,,TKM
Tuvalu,Total Population,0.01,,2023,million,,TUV
Uzbekistan,Total Population,36.02,,2023,million,,UZB
Vanuatu,Total Population,0.31,,2023,million,,VAN
Viet Nam,Total Population,100.31,,2023,million,,VIE
Afghanistan,Trade Balance,,,,% of GDP,,AFG
Armenia,Trade Balance,-10.2,,2023,% of GDP,,ARM
Azerbaijan,Trade Balance,34.8,,2022,% of GDP,,AZE
Bangladesh,Trade Balance,-3.8,,2023,% of GDP,,BAN
Bhutan,Trade Balance,-22.5,,2023,% of GDP,,BHU
Brunei Darussalam,Trade Balance,30.9,,2022,% of GDP,,BRU
Cambodia,Trade Balance,-9.4,,2023,% of GDP,,CAM
"China, People's Republic of",Trade Balance,3.4,,2023,% of GDP,,PRC
Cook Islands,Trade Balance,-32.7,,2023,% of GDP,,COO
Fiji,Trade Balance,-33.1,,2023,% of GDP,,FIJ
Georgia,Trade Balance,-30.8,,2023,% of GDP,,GEO
"Hong Kong, China",Trade Balance,-4.3,,2023,% of GDP,,HKG
India,Trade Balance,-7.3,,2023,% of GDP,,IND
Indonesia,Trade Balance,3.4,,2023,% of GDP,,INO
Kazakhstan,Trade Balance,7.3,,2023,% of GDP,,KAZ
Kiribati,Trade Balance,-44.6,,2023,% of GDP,,KIR
"Korea, Republic of",Trade Balance,2,,2023,% of GDP,,KOR
Kyrgyz Republic,Trade Balance,-57,,2022,% of GDP,,KGZ
Lao People's Democratic Republic,Trade Balance,0.8,,2023,% of GDP,,LAO
Malaysia,Trade Balance,7.3,,2023,% of GDP,,MAL
Maldives,Trade Balance,-42.5,,2023,% of GDP,,MLD
Marshall Islands,Trade Balance,-12.6,,2022,% of GDP,,RMI
"Micronesia, Federated States of",Trade Balance,-36.8,,2021,% of GDP,,FSM
Mongolia,Trade Balance,22,,2023,% of GDP,,MON
Myanmar,Trade Balance,-6.7,,2023,% of GDP,,MYA
Nauru,Trade Balance,-38,,2023,% of GDP,,NAU
Nepal,Trade Balance,-26,,2023,% of GDP,,NEP
Niue,Trade Balance,,,,% of GDP,,NIU
Pakistan,Trade Balance,-7.1,,2023,% of GDP,,PAK
Palau,Trade Balance,-45.3,,2023,% of GDP,,PAL
Papua New Guinea,Trade Balance,28.8,,2023,% of GDP,,PNG
Philippines,Trade Balance,-15.1,,2023,% of GDP,,PHI
Samoa,Trade Balance,-53.9,,2023,% of GDP,,SAM
Singapore,Trade Balance,30.8,,2023,% of GDP,,SIN
Solomon Islands,Trade Balance,-10,,2023,% of GDP,,SOL
Sri Lanka,Trade Balance,-5.8,,2023,% of GDP,,SRI
"Taipei,China",Trade Balance,12.7,,2023,% of GDP,,TAP
Tajikistan,Trade Balance,-27.8,,2023,% of GDP,,TAJ
Thailand,Trade Balance,3.3,,2023,% of GDP,,THA
Timor-Leste,Trade Balance,-44.6,,2023,% of GDP,,TIM
Tonga,Trade Balance,-46.9,,2023,% of GDP,,TON
Turkmenistan,Trade Balance,13.6,,2019,% of GDP,,TKM
Tuvalu,Trade Balance,-56.8,,2023,% of GDP,,TUV
Uzbekistan,Trade Balance,-13.8,,2021,% of GDP,,UZB
Vanuatu,Trade Balance,-39.6,,2023,% of GDP,,VAN
Viet Nam,Trade Balance,10.2,,2023,% of GDP,,VIE
Afghanistan,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",14.7,,2019,%,1.1.1b,AFG
Armenia,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",0.4,,2019,%,1.1.1b,ARM
Azerbaijan,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",0.1,,2019,%,1.1.1b,AZE
Bangladesh,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",11.5,,2019,%,1.1.1b,BAN
Bhutan,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",0.5,,2019,%,1.1.1b,BHU
Brunei Darussalam,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",,,,%,1.1.1b,BRU
Cambodia,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",20.3,,2019,%,1.1.1b,CAM
"China, People's Republic of","1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",0.2,,2019,%,1.1.1b,PRC
Cook Islands,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",,,,%,1.1.1b,COO
Fiji,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",0.3,,2019,%,1.1.1b,FIJ
Georgia,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",2.5,,2019,%,1.1.1b,GEO
"Hong Kong, China","1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",,,,%,1.1.1b,HKG
India,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",12.4,,2019,%,1.1.1b,IND
Indonesia,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",5.2,,2019,%,1.1.1b,INO
Kazakhstan,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",0,,2019,%,1.1.1b,KAZ
Kiribati,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",,,,%,1.1.1b,KIR
"Korea, Republic of","1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",0,,2019,%,1.1.1b,KOR
Kyrgyz Republic,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",0.5,,2019,%,1.1.1b,KGZ
Lao People's Democratic Republic,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",8,,2019,%,1.1.1b,LAO
Malaysia,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",0,,2019,%,1.1.1b,MAL
Maldives,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",0.1,,2019,%,1.1.1b,MLD
Marshall Islands,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",,,,%,1.1.1b,RMI
"Micronesia, Federated States of","1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",,,,%,1.1.1b,FSM
Mongolia,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",0.1,,2019,%,1.1.1b,MON
Myanmar,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",1.2,,2019,%,1.1.1b,MYA
Nauru,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",,,,%,1.1.1b,NAU
Nepal,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",2.2,,2019,%,1.1.1b,NEP
Niue,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",,,,%,1.1.1b,NIU
Pakistan,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",6.9,,2019,%,1.1.1b,PAK
Palau,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",,,,%,1.1.1b,PAL
Papua New Guinea,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",31.1,,2019,%,1.1.1b,PNG
Philippines,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",1.1,,2019,%,1.1.1b,PHI
Samoa,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",,,,%,1.1.1b,SAM
Singapore,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",,,,%,1.1.1b,SIN
Solomon Islands,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",20.5,,2019,%,1.1.1b,SOL
Sri Lanka,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",0.6,,2019,%,1.1.1b,SRI
"Taipei,China","1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",0.1,,2019,%,1.1.1b,TAP
Tajikistan,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",4.5,,2019,%,1.1.1b,TAJ
Thailand,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",0,,2019,%,1.1.1b,THA
Timor-Leste,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",17.1,,2019,%,1.1.1b,TIM
Tonga,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",,,,%,1.1.1b,TON
Turkmenistan,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",0.4,,2019,%,1.1.1b,TKM
Tuvalu,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",,,,%,1.1.1b,TUV
Uzbekistan,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",21.1,,2019,%,1.1.1b,UZB
Vanuatu,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",,,,%,1.1.1b,VAN
Viet Nam,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Female",1,,2019,%,1.1.1b,VIE
Afghanistan,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",9.2,,2019,%,1.1.1b,AFG
Armenia,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",0.2,,2019,%,1.1.1b,ARM
Azerbaijan,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",0.1,,2019,%,1.1.1b,AZE
Bangladesh,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",8.7,,2019,%,1.1.1b,BAN
Bhutan,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",0.5,,2019,%,1.1.1b,BHU
Brunei Darussalam,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",,,,%,1.1.1b,BRU
Cambodia,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",23.2,,2019,%,1.1.1b,CAM
"China, People's Republic of","1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",0.2,,2019,%,1.1.1b,PRC
Cook Islands,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",,,,%,1.1.1b,COO
Fiji,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",0.3,,2019,%,1.1.1b,FIJ
Georgia,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",2.6,,2019,%,1.1.1b,GEO
"Hong Kong, China","1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",,,,%,1.1.1b,HKG
India,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",10.4,,2019,%,1.1.1b,IND
Indonesia,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",5.1,,2019,%,1.1.1b,INO
Kazakhstan,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",0,,2019,%,1.1.1b,KAZ
Kiribati,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",,,,%,1.1.1b,KIR
"Korea, Republic of","1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",0,,2019,%,1.1.1b,KOR
Kyrgyz Republic,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",0.6,,2019,%,1.1.1b,KGZ
Lao People's Democratic Republic,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",7.5,,2019,%,1.1.1b,LAO
Malaysia,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",0,,2019,%,1.1.1b,MAL
Maldives,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",0.1,,2019,%,1.1.1b,MLD
Marshall Islands,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",,,,%,1.1.1b,RMI
"Micronesia, Federated States of","1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",,,,%,1.1.1b,FSM
Mongolia,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",0.3,,2019,%,1.1.1b,MON
Myanmar,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",1.5,,2019,%,1.1.1b,MYA
Nauru,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",,,,%,1.1.1b,NAU
Nepal,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",2.2,,2019,%,1.1.1b,NEP
Niue,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",,,,%,1.1.1b,NIU
Pakistan,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",3.8,,2019,%,1.1.1b,PAK
Palau,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",,,,%,1.1.1b,PAL
Papua New Guinea,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",24.3,,2019,%,1.1.1b,PNG
Philippines,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",1.5,,2019,%,1.1.1b,PHI
Samoa,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",,,,%,1.1.1b,SAM
Singapore,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",,,,%,1.1.1b,SIN
Solomon Islands,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",23.9,,2019,%,1.1.1b,SOL
Sri Lanka,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",0.7,,2019,%,1.1.1b,SRI
"Taipei,China","1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",0.1,,2019,%,1.1.1b,TAP
Tajikistan,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",3.6,,2019,%,1.1.1b,TAJ
Thailand,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",0.1,,2019,%,1.1.1b,THA
Timor-Leste,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",19.6,,2019,%,1.1.1b,TIM
Tonga,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",,,,%,1.1.1b,TON
Turkmenistan,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",0.3,,2019,%,1.1.1b,TKM
Tuvalu,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",,,,%,1.1.1b,TUV
Uzbekistan,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",24.2,,2019,%,1.1.1b,UZB
Vanuatu,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",,,,%,1.1.1b,VAN
Viet Nam,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Male",0.8,,2019,%,1.1.1b,VIE
Afghanistan,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",34.9,,2023,%,1.1.1b,AFG
Armenia,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",0.1,,2023,%,1.1.1b,ARM
Azerbaijan,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",0.1,,2023,%,1.1.1b,AZE
Bangladesh,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",5.8,,2023,%,1.1.1b,BAN
Bhutan,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",0.5,,2023,%,1.1.1b,BHU
Brunei Darussalam,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",,,,%,1.1.1b,BRU
Cambodia,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",20.5,,2023,%,1.1.1b,CAM
"China, People's Republic of","1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",0.1,,2023,%,1.1.1b,PRC
Cook Islands,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",,,,%,1.1.1b,COO
Fiji,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",0.4,,2023,%,1.1.1b,FIJ
Georgia,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",2.3,,2023,%,1.1.1b,GEO
"Hong Kong, China","1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",,,,%,1.1.1b,HKG
India,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",9,,2023,%,1.1.1b,IND
Indonesia,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",3.1,,2023,%,1.1.1b,INO
Kazakhstan,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",0,,2023,%,1.1.1b,KAZ
Kiribati,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",,,,%,1.1.1b,KIR
"Korea, Republic of","1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",0,,2023,%,1.1.1b,KOR
Kyrgyz Republic,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",0.9,,2023,%,1.1.1b,KGZ
Lao People's Democratic Republic,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",7.2,,2023,%,1.1.1b,LAO
Malaysia,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",0,,2023,%,1.1.1b,MAL
Maldives,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",0.1,,2023,%,1.1.1b,MLD
Marshall Islands,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",,,,%,1.1.1b,RMI
"Micronesia, Federated States of","1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",,,,%,1.1.1b,FSM
Mongolia,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",0.2,,2023,%,1.1.1b,MON
Myanmar,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",1.9,,2023,%,1.1.1b,MYA
Nauru,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",,,,%,1.1.1b,NAU
Nepal,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",1.6,,2023,%,1.1.1b,NEP
Niue,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",,,,%,1.1.1b,NIU
Pakistan,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",3.5,,2023,%,1.1.1b,PAK
Palau,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",,,,%,1.1.1b,PAL
Papua New Guinea,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",29.3,,2023,%,1.1.1b,PNG
Philippines,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",0.2,,2023,%,1.1.1b,PHI
Samoa,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",,,,%,1.1.1b,SAM
Singapore,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",,,,%,1.1.1b,SIN
Solomon Islands,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",34.8,,2023,%,1.1.1b,SOL
Sri Lanka,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",1.8,,2023,%,1.1.1b,SRI
"Taipei,China","1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",0.1,,2023,%,1.1.1b,TAP
Tajikistan,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",2.8,,2023,%,1.1.1b,TAJ
Thailand,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",0,,2023,%,1.1.1b,THA
Timor-Leste,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",29.7,,2023,%,1.1.1b,TIM
Tonga,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",,,,%,1.1.1b,TON
Turkmenistan,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",0.5,,2023,%,1.1.1b,TKM
Tuvalu,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",,,,%,1.1.1b,TUV
Uzbekistan,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",18.7,,2023,%,1.1.1b,UZB
Vanuatu,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",,,,%,1.1.1b,VAN
Viet Nam,"1.1.1b – Proportion of Employed Population below $2.15 PPP a Day (Age 15+), Total",0.7,,2023,%,1.1.1b,VIE
Afghanistan,1.2.1 – Proportion of Population Living below the National Poverty Line,54.5,,2016,%,1.2.1,AFG
Armenia,1.2.1 – Proportion of Population Living below the National Poverty Line,24.8,,2022,%,1.2.1,ARM
Azerbaijan,1.2.1 – Proportion of Population Living below the National Poverty Line,5.5,,2022,%,1.2.1,AZE
Bangladesh,1.2.1 – Proportion of Population Living below the National Poverty Line,18.7,,2022,%,1.2.1,BAN
Bhutan,1.2.1 – Proportion of Population Living below the National Poverty Line,12.4,,2022,%,1.2.1,BHU
Brunei Darussalam,1.2.1 – Proportion of Population Living below the National Poverty Line,,,,%,1.2.1,BRU
Cambodia,1.2.1 – Proportion of Population Living below the National Poverty Line,17.8,,2019,%,1.2.1,CAM
"China, People's Republic of",1.2.1 – Proportion of Population Living below the National Poverty Line,,,,%,1.2.1,PRC
Cook Islands,1.2.1 – Proportion of Population Living below the National Poverty Line,,,,%,1.2.1,COO
Fiji,1.2.1 – Proportion of Population Living below the National Poverty Line,29.9,,2019,%,1.2.1,FIJ
Georgia,1.2.1 – Proportion of Population Living below the National Poverty Line,15.6,,2022,%,1.2.1,GEO
"Hong Kong, China",1.2.1 – Proportion of Population Living below the National Poverty Line,17.3,,2020,%,1.2.1,HKG
India,1.2.1 – Proportion of Population Living below the National Poverty Line,,,,%,1.2.1,IND
Indonesia,1.2.1 – Proportion of Population Living below the National Poverty Line,9.4,,2023,%,1.2.1,INO
Kazakhstan,1.2.1 – Proportion of Population Living below the National Poverty Line,5.2,,2022,%,1.2.1,KAZ
Kiribati,1.2.1 – Proportion of Population Living below the National Poverty Line,21.9,,2019,%,1.2.1,KIR
"Korea, Republic of",1.2.1 – Proportion of Population Living below the National Poverty Line,14.9,,2022,%,1.2.1,KOR
Kyrgyz Republic,1.2.1 – Proportion of Population Living below the National Poverty Line,33.2,,2022,%,1.2.1,KGZ
Lao People's Democratic Republic,1.2.1 – Proportion of Population Living below the National Poverty Line,18.3,,2018,%,1.2.1,LAO
Malaysia,1.2.1 – Proportion of Population Living below the National Poverty Line,6.2,,2022,%,1.2.1,MAL
Maldives,1.2.1 – Proportion of Population Living below the National Poverty Line,5.4,,2019,%,1.2.1,MLD
Marshall Islands,1.2.1 – Proportion of Population Living below the National Poverty Line,7.2,,2019,%,1.2.1,RMI
"Micronesia, Federated States of",1.2.1 – Proportion of Population Living below the National Poverty Line,,,,%,1.2.1,FSM
Mongolia,1.2.1 – Proportion of Population Living below the National Poverty Line,27.1,,2022,%,1.2.1,MON
Myanmar,1.2.1 – Proportion of Population Living below the National Poverty Line,24.8,,2017,%,1.2.1,MYA
Nauru,1.2.1 – Proportion of Population Living below the National Poverty Line,,,,%,1.2.1,NAU
Nepal,1.2.1 – Proportion of Population Living below the National Poverty Line,20.3,,2022,%,1.2.1,NEP
Niue,1.2.1 – Proportion of Population Living below the National Poverty Line,,,,%,1.2.1,NIU
Pakistan,1.2.1 – Proportion of Population Living below the National Poverty Line,21.9,,2018,%,1.2.1,PAK
Palau,1.2.1 – Proportion of Population Living below the National Poverty Line,,,,%,1.2.1,PAL
Papua New Guinea,1.2.1 – Proportion of Population Living below the National Poverty Line,37.5,,2017,%,1.2.1,PNG
Philippines,1.2.1 – Proportion of Population Living below the National Poverty Line,18.1,,2021,%,1.2.1,PHI
